City Name,Country,State,Status
Narayangaon,India,Maharashtra,active
Mangalore,India,Karnataka,active
Kothamangalam,India,Kerala,active
Perambra,India,Kerala,active
Bellary,India,Karnataka,active
Ponkunnam,India,Kerala,active
Deralakatte,India,Karnataka,active
Karkala,India,Karnataka,active
Dhone,India,Andhra Pradesh,active
Achampet,India,Telangana,active
Bhatkal,India,Karnataka,active
Mukkam,India,Kerala,active
Khammam,India,Telangana,active
Cheruvathoor,India,Kerala,active
Nakrekal,India,Telangana,active
Sankeshwar,India,Karnataka,active
Uthukottai,India,Tamil Nadu,active
Nippani,India,Karnataka,active
Choutuppal,India,Telangana,active
Shahpur,India,Karnataka,active
Kattakada,India,Kerala,active
Bharanikkavu,India,Kerala,active
Uran Islampur,India,Maharashtra,active
Wani,India,Maharashtra,active
Dharapuram,India,Tamil Nadu,active
Korutla,India,Telangana,active
Chipurapalli,India,Andhra Pradesh,active
Kozhenchery,India,Kerala,active
Balussery,India,Kerala,active
Kadur,India,Karnataka,active
Rajam,India,Andhra Pradesh,active
Tiruparankundram,India,Tamil Nadu,active
Thriprayar,India,Kerala,active
Mangalore,India,Karnataka,active
Nagercoil,India,Tamil Nadu,active
Kondamallepally,India,Telangana,active
Ambattur,India,Tamil Nadu,active
Pathanpuram,India,Kerala,active
Koothattukkulam,India,Kerala,active
Jadcherla,India,Telangana,active
Gulbarga,India,Karnataka,active
Kollegala,India,Karnataka,active
Markapur,India,Andhra Pradesh,active
Nidadhavole,India,Andhra Pradesh,active
Hunsur,India,Karnataka,active
Akluj,India,Maharashtra,active
Mudhol,India,Karnataka,active
Udgir,India,Maharashtra,active
Mambakkam,India,Tamil Nadu,active
Gooty,India,Andhra Pradesh,active
Gonikoppal,India,Karnataka,active
Parappanangadi,India,Kerala,active
Achutapuram,India,Andhra Pradesh,active
Darsi,India,Andhra Pradesh,active
Alathur,India,Kerala,active
Toranagallu,India,Karnataka,active
Perundurai,India,Tamil Nadu,active
Narsannapeta,India,Andhra Pradesh,active
Shikarpur,India,Karnataka,active
Kagaznagar,India,Telangana,active
Bhadravati,India,Maharashtra,active
Ahmadpur,India,Maharashtra,active
Gulbarga,India,Karnataka,active
Pithapuram,India,Andhra Pradesh,active
Hiriyur,India,Karnataka,active
Payyavur,India,Kerala,active
Tekkali,India,Andhra Pradesh,active
Pothencode,India,Kerala,active
Ichchapuram,India,Andhra Pradesh,active
Wadakkancherry,India,Kerala,active
Butibori,India,Maharashtra,active
Macherla,India,Andhra Pradesh,active
Kamptee,India,Maharashtra,active
Madurai,India,Tamil Nadu,active
Saluru,India,Andhra Pradesh,active
Manamadurai,India,Tamil Nadu,active
Shahada,India,Maharashtra,active
Manvi,India,Karnataka,active
Maddur,India,Karnataka,active
Isnapur,India,Telangana,active
Rajura,India,Maharashtra,active
Nooranad,India,Kerala,active
Ankola,India,Karnataka,active
Gingee,India,Tamil Nadu,active
Kangeyam,India,Tamil Nadu,active
Katol,India,Maharashtra,active
Asifabad,India,Telangana,active
Thokkottu,India,Karnataka,active
Tarikere,India,Karnataka,active
